Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Orange,,XXXL,,,16512482-orange-xxxl,0.0,shopify,deny,oberlo,10.60,10.60,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476644.jpg?v=1584384482,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Pink,,S,,,16512482-pink-s,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476645.jpg?v=1584384483,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Pink,,M,,,16512482-pink-m,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476645.jpg?v=1584384483,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Pink,,L,,,16512482-pink-l,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476645.jpg?v=1584384483,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Pink,,XL,,,16512482-pink-xl,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476645.jpg?v=1584384483,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Pink,,XXL,,,16512482-pink-xxl,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476645.jpg?v=1584384483,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Pink,,XXXL,,,16512482-pink-xxxl,0.0,shopify,deny,oberlo,10.60,10.60,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476645.jpg?v=1584384483,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Blue,,S,,,16512482-blue-s,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476646.jpg?v=1584384488,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Blue,,M,,,16512482-blue-m,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476646.jpg?v=1584384488,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Blue,,L,,,16512482-blue-l,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476646.jpg?v=1584384488,kg,,,,,
