('16512482-red-xl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476647.jpg?v=1584384485', 'Red', 'XL', 986),
('16512482-red-xxl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476647.jpg?v=1584384485', 'Red', 'XXL', 986),
('16512482-red-xxxl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476647.jpg?v=1584384485', 'Red', 'XXXL', 1060),
('16512482-black-with-grey-s', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476648.jpg?v=1584384486', 'Black with Grey', 'S', 986),
('16512482-black-with-grey-m', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476648.jpg?v=1584384486', 'Black with Grey', 'M', 986),
('16512482-black-with-grey-l', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476648.jpg?v=1584384486', 'Black with Grey', 'L', 986),
('16512482-black-with-grey-xl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476648.jpg?v=1584384486', 'Black with Grey', 'XL', 986),
('16512482-black-with-grey-xxl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476648.jpg?v=1584384486', 'Black with Grey', 'XXL', 986),
('16512482-black-with-grey-xxxl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476648.jpg?v=1584384486', 'Black with Grey', 'XXXL', 1060),
('34119654-cok-renkli-l', 'trendyol-pattern-gauze-knitted-blouse-twoss20bz0448', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1278761877.jpg?v=1584384476', 'Çok Renkli', 'L', 5024),
('34119654-cok-renkli-s', 'trendyol-pattern-gauze-knitted-blouse-twoss20bz0448', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1278761877.jpg?v=1584384476', 'Çok Renkli', 'S', 5024),
('34119654-cok-renkli-xs', 'trendyol-pattern-gauze-knitted-blouse-twoss20bz0448', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1278761877.jpg?v=1584384476', 'Çok Renkli', 'XS', 5024),
('34119654-cok-renkli-m', 'trendyol-pattern-gauze-knitted-blouse-twoss20bz0448', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1278761877.jpg?v=1584384476', 'Çok Renkli', 'M', 5024),
('32217284-s-as-picture', 'deat-2020-new-spring-and-summer-fashion-women-clothes-cashmere-sqaure-collar-full-sleeves-elasitc-high-waist-sexy-pullover-wk080', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306529734.jpg?v=1584384476', 'S', 'as picture', 5596),
('32217284-m-black', 'deat-2020-new-spring-and-summer-fashion-women-clothes-cashmere-sqaure-collar-full-sleeves-elasitc-high-waist-sexy-pullover-wk080', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306529739.jpg?v=1584384477', 'M', 'black', 5596),
('32217284-s-black', 'deat-2020-new-spring-and-summer-fashion-women-clothes-cashmere-sqaure-collar-full-sleeves-elasitc-high-waist-sexy-pullover-wk080', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306529739.jpg?v=1584384477', 'S', 'black', 5596),
('32217284-l-as-picture', 'deat-2020-new-spring-and-summer-fashion-women-clothes-cashmere-sqaure-collar-full-sleeves-elasitc-high-waist-sexy-pullover-wk080', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306529734.jpg?v=1584384476', 'L', 'as picture', 5596),
('32217284-m-as-picture', 'deat-2020-new-spring-and-summer-fashion-women-clothes-cashmere-sqaure-collar-full-sleeves-elasitc-high-waist-sexy-pullover-wk080', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306529734.jpg?v=1584384476', 'M', 'as picture', 5596),
('32217284-l-black', 'deat-2020-new-spring-and-summer-fashion-women-clothes-cashmere-sqaure-collar-full-sleeves-elasitc-high-waist-sexy-pullover-wk080', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306529739.jpg?v=1584384477', 'L', 'black', 5596),
